FECHA,confirmed,deaths,estimation,ratio,new confirmed,new deaths,new estimated,new ratio,new confirmed (7d),new deaths (7d),new estimated (7d),new ratio (7d)
2020-01-01,2,0,0.0,,2,0,0.0,,,,0.0,
2020-01-02,3,0,0.0,,1,0,0.0,,,,0.0,
2020-01-03,3,0,0.0,,0,0,0.0,,,,0.0,
2020-01-04,3,0,0.0,,0,0,0.0,,0.42857142857142855,0.0,0.0,
2020-01-05,3,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-06,3,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-01-07,3,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-01-08,3,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-01-09,3,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-10,3,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-11,3,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-12,4,0,0.0,,1,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-13,4,0,0.0,,0,0,0.0,,0.2857142857142857,0.0,0.0,
2020-01-14,4,0,0.0,,0,0,0.0,,0.2857142857142857,0.0,0.0,
2020-01-15,4,0,0.0,,0,0,0.0,,0.2857142857142857,0.0,0.0,
2020-01-16,5,0,0.0,,1,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-17,5,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-18,5,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-19,5,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-20,5,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-01-21,5,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-01-22,5,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-01-23,5,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-01-24,5,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-01-25,5,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-26,5,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-27,5,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-28,6,0,0.0,,1,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-29,6,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-30,6,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-01-31,6,0,0.0,,0,0,0.0,,0.14285714285714285,0.0,0.0,
2020-02-01,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-02,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-03,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-04,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-05,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-06,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-07,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-08,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-09,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-10,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-11,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-12,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-13,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-14,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-15,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-16,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-17,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-18,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-19,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-20,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-21,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-22,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-23,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-24,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-25,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
2020-02-26,6,0,0.0,,0,0,0.0,,0.0,0.0,0.0,
