TYPE,PROVINCIA,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12
ACTIVOS,LA PAMPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ACTIVOS,LA RIOJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,5,7,8,8,8,13,13,17,18,21,27,29,32,32,32,36,36,35,40,40,42,44,44,44,45,46,46,49,49,49,50,50,51,52,53,52,52,53,53,53,53,53,53,54,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
ACTIVOS,MENDOZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,7,7,7,8,11,13,23,21,22,22,24,25,26,32,34,43,48,51,53,56,57,61,60,60,63,63,63,64,64,64,64,64,64,65,67,72,73,73,73,73,74,74,74,75,75,75,75,76,76,76,76,76,76,76,78,78,78,78,78,78,78,78,78,78,78,81,81,89,89,89,89,89,89,89,90,91,91,92,94
ACTIVOS,MISIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,7,7,11,11,11,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,27,27,27,28,29,29,33,35,35,35,35,35,35
ACTIVOS,NEUQUEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,7,10,11,11,18,18,22,26,27,31,42,47,50,66,73,80,81,82,84,86,87,88,89,92,95,98,98,99,100,100,100,101,104,103,104,105,105,105,105,105,105,105,105,105,106,106,106,106,108,109,109,109,109,109,109,109,109,109,109,110,111,118,120,123,125,126,129,132,135,145,145,146,147,147,147,152,162,176,82
ACTIVOS,RIO NEGRO,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,6,6,6,6,7,7,7,8,13,15,17,19,20,33,39,62,75,78,90,102,111,112,115,123,130,141,158,162,173,176,177,185,198,205,219,227,233,238,245,249,254,257,259,263,265,277,278,282,285,302,308,309,311,317,318,321,325,330,335,338,342,350,357,369,374,378,389,392,407,414,422,437,446,455,467,479,492,508
ACTIVOS,SALTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,8,8,11,15,15,15,15,15,16,16,16,17,17,17
ACTIVOS,SAN JUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
ACTIVOS,SAN LUIS,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,7,6,6,6,6,7,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
ACTIVOS,SANTA CRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,7,9,9,9,9,9,9,19,21,21,22,23,23,31,31,31,37,40,40,40,40,40,40,40,40,40,41,41,41,41,42,42,43,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,51,51,51,51,51,51,51,51,51,51,51,51
ACTIVOS,SANTA FE,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,17,20,42,54,64,77,90,111,133,143,151,159,164,175,183,186,188,194,195,198,201,203,205,207,210,216,219,220,222,223,228,234,237,240,240,240,241,241,241,241,241,241,241,242,242,241,241,241,241,241,241,241,241,241,242,242,246,246,246,251,255,255,256,256,257,257,257,257,259,259,262,262,265,270,271,273,273,273,275,279,281,281
ACTIVOS,SANTIAGO DEL ESTERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,10,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
ACTIVOS,TIERRA DEL FUEGO,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,6,6,6,10,11,14,13,17,21,32,39,39,63,64,72,75,77,79,81,81,83,91,95,99,107,110,117,119,119,122,122,124,124,125,126,130,130,131,137,137,139,140,143,145,145,145,145,145,145,146,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
ACTIVOS,TUCUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,7,7,9,9,15,15,15,14,15,16,20,19,20,20,25,26,25,26,26,27,27,27,27,27,27,27,27,27,28,28,31,31,31,31,32,32,33,33,35,35,35,35,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,40,40,42,42,44,44,44,44,44,45,45,45,45,45,45,45,45,45,44,44,44,44,45
ACTIVOS,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-23,-2,-2,-4,-15,-152,-164,-172,-180,-190,-203,-204,-249,-262,-283,-289,-299,-364,-393,-440,-484,-521,-555,-591,-610,-610,-662,-765,-765,-844,-901,-955,-1032,-1065,-1087,-1117,-1181,-1217,-1245,-1279,-1367,-1397,-1449,-1527,-1585,-1654,-1683,-1763,-1788,-2192,-2310,-2422,-2459,-2495,-2551,-2798,-2859,-2958,-2958,-3486,-3658,-3925,-4093,-4275,-4549,-4720,-5032,-5268,-5453,-5641,-5828,-5925,-6020,-6112,-6917,-7237,-7500,-7926,-8267,-8678,-9018
ACTIVOS,ARGENTINA,1,1,2,8,8,11,16,18,20,30,29,40,51,60,74,91,122,152,194,235,245,318,452,505,595,635,572,702,779,846,963,1032,1128,1183,1237,1296,1365,1440,1453,1585,1598,1620,1741,1828,1880,1944,2022,2070,2049,2153,2210,2294,2401,2488,2560,2644,2728,2815,2917,2986,3088,3094,3154,3232,3334,3430,3590,3719,3892,4102,3978,4165,4284,4589,4873,5070,5117,5483,5848,6482,6655,7175,7624,7993,8394,8816,9406,9799,10350,10791,11150,11854,12692,13501,14225,14387,14825,15359,16053,16921,17865,18796
CONFIRMADOS,BUENOS AIRES,0,0,1,2,2,3,3,4,5,9,10,11,12,13,15,20,35,44,59,67,72,102,132,158,193,201,217,253,270,280,316,338,364,397,409,443,460,489,508,545,572,601,667,729,759,794,825,873,915,975,1036,1120,1181,1275,1331,1381,1429,1532,1598,1632,1677,1715,1753,1811,1874,1924,2001,2061,2112,2156,2236,2332,2411,2497,2594,2668,2761,2918,3096,3309,3575,3864,4060,4220,4456,4771,5069,5342,5638,5892,6144,6632,7074,7497,7868,8325,8700,9045,9590,10212,10968,11712
CONFIRMADOS,CABA,1,1,1,5,6,8,9,10,11,14,16,23,29,34,38,48,56,65,94,106,117,147,166,197,227,245,258,292,311,321,345,373,407,439,456,480,498,521,532,578,586,596,618,648,663,677,691,706,728,761,800,837,916,971,1007,1039,1089,1123,1168,1197,1255,1304,1347,1404,1506,1583,1713,1796,1961,2099,2287,2465,2620,2834,3027,3174,3342,3566,3823,4202,4606,5007,5501,5877,6205,6566,6991,7389,7848,8206,8480,8851,9318,9755,10177,10651,11011,11431,11966,12489,13026,13591
CONFIRMADOS,CATAMARCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONFIRMADOS,CHACO,0,0,0,0,0,0,2,2,2,4,4,5,7,10,11,12,14,15,20,27,31,40,52,55,60,65,69,81,84,96,99,107,115,115,119,123,138,144,149,149,150,153,184,191,202,224,248,253,258,263,270,280,287,294,297,307,307,311,314,326,337,342,347,358,366,392,418,427,459,476,486,504,513,538,559,578,591,625,660,694,721,728,748,757,780,796,824,850,874,887,890,920,926,979,1008,1027,1045,1090,1118,1163,1211,1250
CONFIRMADOS,CHUBUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,8,8,10,10,10,10,11,11,14,15,20,21,26,26,26,30
CONFIRMADOS,CORDOBA,0,0,0,1,1,1,1,1,1,2,2,3,3,3,5,6,9,14,18,26,28,35,50,53,54,55,73,81,95,101,117,131,134,139,146,150,151,156,169,201,206,210,222,228,241,247,249,260,260,260,265,267,269,270,273,273,275,276,278,291,303,304,310,311,316,320,322,328,333,347,350,361,366,369,378,398,418,427,429,441,450,450,456,456,456,456,456,456,456,458,458,459,460,462,463,463,463,464,466,471,474,483
CONFIRMADOS,CORRIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,8,9,19,20,21,22,22,22,22,24,24,24,24,24,24,24,31,31,31,31,31,31,31,34,34,34,35,39,40,46,46,47,47,48,48,48,48,48,48,51,52,53,54,54,70,71,76,78,78,78,78,78,78,78,78,78,78,78,78,78,80,81,87,87,88,94,96,96,96,96,96,96,96,97,97,100,100
CONFIRMADOS,ENTRE RIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,6,6,10,10,10,13,13,14,16,18,18,19,19,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,25,25,27,27,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,31,31,31,33,35,35,39,49,51,53,55,59,65,69
CONFIRMADOS,FORMOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CONFIRMADOS,JUJUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8
CONFIRMADOS,LA PAMPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CONFIRMADOS,LA RIOJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,6,8,9,9,9,14,14,18,19,22,28,31,34,35,35,39,39,40,45,45,47,50,50,50,51,52,52,55,55,55,56,56,57,58,59,59,59,60,60,60,60,60,60,61,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64
CONFIRMADOS,MENDOZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,7,8,9,10,13,15,25,25,27,27,29,30,32,38,40,49,54,57,59,62,63,68,69,69,72,73,73,74,75,75,75,75,75,76,78,83,84,84,84,84,85,85,85,86,86,86,86,87,87,87,87,87,87,87,89,89,89,89,89,89,89,89,89,89,89,92,92,100,100,100,100,100,100,100,101,102,102,103,105
CONFIRMADOS,MISIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,8,8,12,12,12,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,27,27,28,28,28,29,30,30,34,36,36,36,36,37,37
CONFIRMADOS,NEUQUEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,7,10,12,12,20,20,24,28,29,33,44,50,53,70,77,84,85,86,88,90,91,92,93,96,99,102,102,103,104,104,104,105,108,108,109,110,110,110,110,110,110,110,110,110,111,111,111,111,113,114,114,114,114,114,114,114,114,114,114,115,116,123,125,128,130,131,134,137,140,150,150,151,152,152,152,157,167,181,87
CONFIRMADOS,RIO NEGRO,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,8,8,8,8,9,9,9,10,15,17,19,21,22,35,42,65,78,81,94,106,115,116,119,127,137,148,165,169,180,184,185,193,206,214,228,236,242,248,255,259,265,268,270,274,276,289,290,294,298,315,321,323,325,331,333,336,342,347,352,356,360,368,375,387,392,396,407,410,426,434,442,457,467,478,491,503,517,533
CONFIRMADOS,SALTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,8,8,11,15,15,15,15,15,16,16,16,17,17,17
CONFIRMADOS,SAN JUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
CONFIRMADOS,SAN LUIS,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,7,6,6,6,6,7,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
CONFIRMADOS,SANTA CRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,7,9,9,9,9,9,9,19,21,21,22,23,23,31,31,31,37,40,40,40,40,40,40,40,40,40,41,41,41,41,42,42,43,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,51,51,51,51,51,51,51,51,51,51,51,51
CONFIRMADOS,SANTA FE,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,17,20,42,54,64,77,90,111,133,144,152,160,165,176,184,187,189,196,197,200,203,205,207,209,212,218,221,222,224,225,230,236,239,242,242,242,243,243,243,243,243,243,243,244,244,244,244,244,244,244,244,244,244,244,245,245,249,249,249,254,258,258,259,259,260,260,260,260,262,262,265,265,268,273,274,276,276,276,278,282,284,284
CONFIRMADOS,SANTIAGO DEL ESTERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,10,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
CONFIRMADOS,TIERRA DEL FUEGO,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,6,6,6,10,11,14,13,17,21,32,39,39,63,64,72,75,77,79,81,81,83,91,95,99,107,110,117,119,119,122,122,124,124,125,126,130,130,131,137,137,139,140,143,145,145,145,145,145,145,146,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
CONFIRMADOS,TUCUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,7,7,9,9,15,15,15,15,16,17,21,21,22,22,27,28,28,29,29,30,30,30,30,30,30,30,30,30,31,31,34,34,34,34,35,35,36,36,38,38,38,38,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,43,43,45,45,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,49
CONFIRMADOS,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONFIRMADOS,ARGENTINA,1,1,2,8,9,12,17,19,21,31,34,45,56,65,79,97,128,158,225,266,301,387,502,589,690,745,820,966,1054,1133,1265,1353,1451,1554,1628,1715,1795,1894,1975,2142,2208,2277,2442,2571,2668,2758,2839,2941,3031,3144,3288,3435,3607,3780,3892,4003,4127,4285,4427,4531,4679,4782,4886,5020,5208,5371,5611,5776,6034,6278,6563,6879,7134,7479,7805,8068,8371,8809,9283,9930,10648,11352,12075,12627,13227,13933,14702,15419,16214,16851,17415,18319,19268,20197,21037,22020,22794,23620,24761,25988,27373,28664
MUERTOS,BUENOS AIRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,5,5,6,8,8,10,12,15,16,17,19,23,24,32,33,36,40,41,43,44,49,52,54,55,55,59,64,68,72,74,76,77,83,85,87,90,92,95,102,103,108,114,119,123,126,130,132,136,147,149,151,154,156,158,163,172,178,182,184,189,199,202,206,211,213,219,224,232,238,249,257,259,268,284,297,304,323,334
MUERTOS,CABA,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,5,8,8,8,8,9,9,9,9,10,14,16,18,22,23,26,27,28,30,34,37,38,39,39,40,43,45,46,50,54,59,61,63,66,68,72,78,80,84,85,87,89,95,97,99,102,103,108,118,118,122,124,129,134,136,138,144,150,153,161,166,170,173,179,181,186,194,197,202,214,229,242,246,255,260,271,279,283
